ACCIONA,113.900,117.600,111.500,11:41
ACCIONA ENER,20.200,20.820,19.700,11:41
ACERINOX,10.150,10.280,10.140,11:41
ACS,37.860,38.200,37.640,11:41
AENA,172.700,174.500,172.100,11:41
AMADEUS IT GROUP,59.560,61.140,59.440,11:41
ARCELORMITTAL,24.310,24.680,24.180,11:41
BANCO SABADELL,1.885,1.897,1.828,11:41
BANKINTER,7.394,7.580,7.332,11:41
BBVA,9.850,9.964,9.728,11:41
CAIXABANK,4.755,4.987,4.746,11:41
CELLNEX TELECOM,32.820,33.240,31.690,11:41
COLONIAL,5.650,5.830,5.605,11:41
ENAGAS,14.050,14.150,13.750,11:41
ENDESA,17.235,17.535,17.160,11:41
FERROVIAL,34.220,34.620,34.080,11:41
FLUIDRA,20.380,20.620,19.980,11:41
GRIFOLS,8.890,9.020,8.718,11:41
IAG,2.081,2.114,2.075,11:41
IBERDROLA,11.575,11.695,11.505,11:41
INDITEX,42.820,42.880,42.360,11:41
INDRA,18.010,18.170,17.910,11:41
LOGISTA,25.600,25.880,25.600,11:41
MAPFRE,2.242,2.270,2.242,11:41
MELIÁ HOTELS,7.440,7.490,7.310,11:41
MERLIN PROP,10.730,11.030,10.710,11:41
NATURGY,24.060,24.340,23.860,11:41
REDEIA,15.910,16.070,15.780,11:41
REPSOL,14.375,14.485,14.310,11:41
ROVI,82.850,83.300,81.350,11:41
SACYR,3.402,3.436,3.324,11:41
SANTANDER,4.530,4.600,4.514,11:41
SOLARIA,10.280,10.630,9.880,11:41
TELEFÓNICA,4.261,4.279,4.228,11:41
UNICAJA BANCO,1.272,1.297,1.258,11:41
