ENAGAS,14.050,14.150,13.750,15:33
ENDESA,17.235,17.535,17.160,15:33
FERROVIAL,34.220,34.620,34.080,15:33
FLUIDRA,20.380,20.620,19.980,15:33
GRIFOLS,8.890,9.020,8.718,15:33
IAG,2.081,2.114,2.075,15:33
IBERDROLA,11.575,11.695,11.505,15:33
INDITEX,42.820,42.880,42.360,15:33
INDRA,18.010,18.170,17.910,15:33
LOGISTA,25.600,25.880,25.600,15:33
MAPFRE,2.242,2.270,2.242,15:33
MELIÁ HOTELS,7.440,7.490,7.310,15:33
MERLIN PROP,10.730,11.030,10.710,15:33
NATURGY,24.060,24.340,23.860,15:33
REDEIA,15.910,16.070,15.780,15:33
REPSOL,14.375,14.485,14.310,15:33
ROVI,82.850,83.300,81.350,15:33
SACYR,3.402,3.436,3.324,15:33
SANTANDER,4.530,4.600,4.514,15:33
SOLARIA,10.280,10.630,9.880,15:33
TELEFÓNICA,4.261,4.279,4.228,15:33
UNICAJA BANCO,1.272,1.297,1.258,15:33
ACCIONA,113.900,117.600,111.500,16:33
ACCIONA ENER,20.200,20.820,19.700,16:33
ACERINOX,10.150,10.280,10.140,16:33
ACS,37.860,38.200,37.640,16:33
AENA,172.700,174.500,172.100,16:33
AMADEUS IT GROUP,59.560,61.140,59.440,16:33
ARCELORMITTAL,24.310,24.680,24.180,16:33
BANCO SABADELL,1.885,1.897,1.828,16:33
BANKINTER,7.394,7.580,7.332,16:33
BBVA,9.850,9.964,9.728,16:33
CAIXABANK,4.755,4.987,4.746,16:33
CELLNEX TELECOM,32.820,33.240,31.690,16:33
COLONIAL,5.650,5.830,5.605,16:33
ENAGAS,14.050,14.150,13.750,16:33
ENDESA,17.235,17.535,17.160,16:33
FERROVIAL,34.220,34.620,34.080,16:33
FLUIDRA,20.380,20.620,19.980,16:33
GRIFOLS,8.890,9.020,8.718,16:33
IAG,2.081,2.114,2.075,16:33
IBERDROLA,11.575,11.695,11.505,16:33
INDITEX,42.820,42.880,42.360,16:33
INDRA,18.010,18.170,17.910,16:33
LOGISTA,25.600,25.880,25.600,16:33
MAPFRE,2.242,2.270,2.242,16:33
MELIÁ HOTELS,7.440,7.490,7.310,16:33
MERLIN PROP,10.730,11.030,10.710,16:33
NATURGY,24.060,24.340,23.860,16:33
REDEIA,15.910,16.070,15.780,16:33
REPSOL,14.375,14.485,14.310,16:33
ROVI,82.850,83.300,81.350,16:33
SACYR,3.402,3.436,3.324,16:33
SANTANDER,4.530,4.600,4.514,16:33
SOLARIA,10.280,10.630,9.880,16:33
TELEFÓNICA,4.261,4.279,4.228,16:33
UNICAJA BANCO,1.272,1.297,1.258,16:33
ACCIONA,113.900,117.600,111.500,17:33
ACCIONA ENER,20.200,20.820,19.700,17:33
ACERINOX,10.150,10.280,10.140,17:33
ACS,37.860,38.200,37.640,17:33
AENA,172.700,174.500,172.100,17:33
AMADEUS IT GROUP,59.560,61.140,59.440,17:33
ARCELORMITTAL,24.310,24.680,24.180,17:33
BANCO SABADELL,1.885,1.897,1.828,17:33
BANKINTER,7.394,7.580,7.332,17:33
BBVA,9.850,9.964,9.728,17:33
CAIXABANK,4.755,4.987,4.746,17:33
CELLNEX TELECOM,32.820,33.240,31.690,17:33
COLONIAL,5.650,5.830,5.605,17:33
ENAGAS,14.050,14.150,13.750,17:33
ENDESA,17.235,17.535,17.160,17:33
FERROVIAL,34.220,34.620,34.080,17:33
FLUIDRA,20.380,20.620,19.980,17:33
GRIFOLS,8.890,9.020,8.718,17:33
IAG,2.081,2.114,2.075,17:33
IBERDROLA,11.575,11.695,11.505,17:33
INDITEX,42.820,42.880,42.360,17:33
INDRA,18.010,18.170,17.910,17:33
LOGISTA,25.600,25.880,25.600,17:33
MAPFRE,2.242,2.270,2.242,17:33
MELIÁ HOTELS,7.440,7.490,7.310,17:33
MERLIN PROP,10.730,11.030,10.710,17:33
NATURGY,24.060,24.340,23.860,17:33
REDEIA,15.910,16.070,15.780,17:33
REPSOL,14.375,14.485,14.310,17:33
ROVI,82.850,83.300,81.350,17:33
SACYR,3.402,3.436,3.324,17:33
SANTANDER,4.530,4.600,4.514,17:33
SOLARIA,10.280,10.630,9.880,17:33
TELEFÓNICA,4.261,4.279,4.228,17:33
UNICAJA BANCO,1.272,1.297,1.258,17:33
