ACCIONA,115.300,116.100,114.200,12:17
ACCIONA ENER,20.360,20.480,20.040,12:17
ACERINOX,10.130,10.230,10.110,12:17
ACS,38.560,38.620,38.240,12:17
AENA,172.600,173.900,172.300,12:17
AMADEUS IT GROUP,59.500,60.060,59.440,12:17
ARCELORMITTAL,24.060,24.340,23.960,12:17
BANCO SABADELL,1.872,1.878,1.810,12:17
BANKINTER,7.444,7.476,7.420,12:17
BBVA,10.080,10.080,9.910,12:17
CAIXABANK,4.899,4.905,4.863,12:17
CELLNEX TELECOM,32.530,32.690,32.300,12:17
COLONIAL,5.740,5.750,5.700,12:17
ENAGAS,14.030,14.100,14.010,12:17
ENDESA,17.425,17.470,17.360,12:17
FERROVIAL,35.200,35.260,34.840,12:17
FLUIDRA,21.580,21.720,20.780,12:17
GRIFOLS,9.464,9.530,9.250,12:17
IAG,2.137,2.150,2.122,12:17
IBERDROLA,11.680,11.755,11.660,12:17
INDITEX,42.950,43.040,42.700,12:17
INDRA,19.740,20.020,19.580,12:17
LOGISTA,25.820,25.960,25.600,12:17
MAPFRE,2.310,2.318,2.298,12:17
MELIÁ HOTELS,7.605,7.610,7.500,12:17
MERLIN PROP,10.690,10.780,10.690,12:17
NATURGY,23.920,24.040,23.880,12:17
REDEIA,16.010,16.060,15.940,12:17
REPSOL,14.600,14.620,14.505,12:17
ROVI,84.100,84.350,83.800,12:17
SACYR,3.464,3.478,3.440,12:17
SANTANDER,4.659,4.661,4.591,12:17
SOLARIA,10.690,10.720,10.260,12:17
TELEFÓNICA,4.286,4.307,4.275,12:17
UNICAJA BANCO,1.260,1.268,1.246,12:17
ACCIONA,115.200,116.100,114.200,13:17
ACCIONA ENER,20.420,20.480,20.040,13:17
ACERINOX,10.100,10.230,10.050,13:17
ACS,38.500,38.620,38.240,13:17
AENA,172.700,173.900,172.300,13:17
AMADEUS IT GROUP,59.520,60.060,59.440,13:17
ARCELORMITTAL,23.920,24.340,23.880,13:17
BANCO SABADELL,1.870,1.878,1.810,13:17
BANKINTER,7.442,7.476,7.420,13:17
BBVA,10.065,10.080,9.910,13:17
CAIXABANK,4.886,4.905,4.863,13:17
CELLNEX TELECOM,32.530,32.690,32.300,13:17
COLONIAL,5.745,5.750,5.700,13:17
ENAGAS,14.050,14.100,14.010,13:17
ENDESA,17.435,17.470,17.360,13:17
FERROVIAL,35.300,35.300,34.840,13:17
FLUIDRA,21.540,21.720,20.780,13:17
GRIFOLS,9.390,9.530,9.250,13:17
IAG,2.131,2.150,2.122,13:17
IBERDROLA,11.685,11.755,11.660,13:17
INDITEX,42.900,43.040,42.700,13:17
INDRA,19.710,20.020,19.580,13:17
LOGISTA,25.800,25.960,25.600,13:17
MAPFRE,2.304,2.318,2.298,13:17
MELIÁ HOTELS,7.585,7.610,7.500,13:17
MERLIN PROP,10.700,10.780,10.670,13:17
NATURGY,23.900,24.040,23.860,13:17
REDEIA,16.040,16.060,15.940,13:17
REPSOL,14.635,14.650,14.505,13:17
ROVI,84.050,84.350,83.800,13:17
SACYR,3.468,3.478,3.440,13:17
SANTANDER,4.653,4.669,4.591,13:17
SOLARIA,10.660,10.730,10.260,13:17
TELEFÓNICA,4.296,4.307,4.275,13:17
UNICAJA BANCO,1.257,1.268,1.246,13:17
ACCIONA,115.500,116.100,114.200,14:17
ACCIONA ENER,20.460,20.480,20.040,14:17
ACERINOX,10.100,10.230,10.050,14:17
ACS,38.620,38.640,38.240,14:17
AENA,172.800,173.900,172.300,14:17
AMADEUS IT GROUP,59.500,60.060,59.440,14:17
ARCELORMITTAL,23.890,24.340,23.870,14:17
BANCO SABADELL,1.873,1.878,1.810,14:17
BANKINTER,7.488,7.488,7.420,14:17
BBVA,10.080,10.080,9.910,14:17
CAIXABANK,4.903,4.905,4.863,14:17
CELLNEX TELECOM,32.670,32.690,32.300,14:17
COLONIAL,5.750,5.755,5.700,14:17
ENAGAS,14.090,14.100,14.010,14:17
ENDESA,17.480,17.480,17.360,14:17
FERROVIAL,35.440,35.460,34.840,14:17
FLUIDRA,21.620,21.720,20.780,14:17
GRIFOLS,9.422,9.530,9.250,14:17
IAG,2.130,2.150,2.122,14:17
IBERDROLA,11.765,11.770,11.660,14:17
INDITEX,42.920,43.040,42.700,14:17
INDRA,19.700,20.020,19.580,14:17
LOGISTA,25.780,25.960,25.600,14:17
MAPFRE,2.308,2.318,2.298,14:17
MELIÁ HOTELS,7.580,7.610,7.500,14:17
MERLIN PROP,10.710,10.780,10.670,14:17
NATURGY,23.960,24.040,23.860,14:17
REDEIA,16.100,16.110,15.940,14:17
REPSOL,14.595,14.650,14.505,14:17
ROVI,84.100,84.350,83.800,14:17
SACYR,3.492,3.492,3.440,14:17
SANTANDER,4.669,4.669,4.591,14:17
SOLARIA,10.750,10.770,10.260,14:17
TELEFÓNICA,4.299,4.307,4.275,14:17
UNICAJA BANCO,1.261,1.268,1.246,14:17
